MANUFACTURER,MANUFACTURER IMG,Brand,Brand aka,Brand IMG,Line,Cigar,Cigar IMG,Vitola,LENGTH,RG,SHAPE,WRAPPER,BINDER,FILLER,ORIGIN,WRAPPER SHADE,STRENGTH,Box Pressed,Tubo,F/S,TIN,Pack,Barber,Favorite,MSRP,Box MSRP,Box Count,Inventory,Keystone1,Box Cost,Cigar Cost,Net,PRODUCT #,Master Case
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Small Cigars,Mini Cigarillos (20),,Cigarillo,3.25,20,Parejo,,,,,,,,,,Tin,,,,,,200,89,2.39,139.00,0.70,1.70,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Symmetry,Belicoso,,Belicoso,5.25,52,Belicoso,,,,,,,,,,,,,,15.95,398.75,25,89,20.69,246.09,9.84,10.84,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Symmetry,Prism Corona,,Corona,5.63,46,Parejo,,,,,,,,,,,,,,15.95,398.75,25,89,19.84,235.55,9.42,10.42,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Symmetry,Robusto,,Robusto,5.00,50,Parejo,,,,,,,,,,,,,,15.95,398.75,25,89,20.41,242.58,9.70,10.70,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Symmetry,Sublime Toro,,Toro,6.00,52,Parejo,,,,,,,,,,,,,,15.95,398.75,25,89,21.25,253.13,10.13,11.13,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Symmetry,Prestige Churchill,,Churchill,6.75,49,Parejo,,,,,,,,,,,,,,15.95,398.75,25,89,21.81,260.16,10.41,11.41,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Belicoso #1,,Belicoso,5.25,52,Belicoso,,,,,,,,,,,,,,15.95,382.80,24,89,19.28,219.38,9.14,10.14,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Corona Gorda,,Corona Gorda,5.75,46,Parejo,,,,,,,,,,,,,,15.95,382.80,24,89,18.72,212.63,8.86,9.86,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Eclipse Toro Tubo,,Toro,6.00,52,Parejo,,,,,,,,Tubo,,,,,,15.95,382.80,24,89,23.50,270.00,11.25,12.25,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Enchantment Perfecto,,Perfecto,4.38,60,Perfecto,,,,,,,,,,,,,,15.95,350.90,22,89,20.97,219.66,9.98,10.98,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Illusion Lonsdale,,Lonsdale,6.50,44,Parejo,,,,,,,,,,,,,,15.95,382.80,24,89,18.83,213.98,8.92,9.92,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Pegasus Robusto,,Robusto Gordo,5.00,54,Parejo,,,,,,,,,,,,,,19.90,398.00,20,89,19.90,189.00,9.45,10.45,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Robusto,,Robusto,5.50,50,Parejo,,,,,,,,,,,,,,16.25,390.00,24,89,19.00,216.00,9.00,10.00,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Sorcerer Churchill,,Churchill,7.00,49,Parejo,,,,,,,,,,,,,,19.55,469.20,24,89,20.41,232.88,9.70,10.70,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Spellbound Double Corona,,Double Corona,7.50,54,Parejo,,,,,,,,,,,,,,20.55,493.20,24,89,23.33,267.98,11.17,12.17,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Torpedo,,Torpedo,6.50,55,Torpedo,,,,,,,,,,,,,,22.09,530.26,24,89,22.09,253.13,10.55,11.55,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Tres Mystique Petit Corona ,,Petit Corona,4.38,44,Parejo,,,,,,,,,,,,,,14.65,351.60,24,89,17.88,202.50,8.44,9.44,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Virgin Sun Grown,Wizard Toro,,Toro Gordo,6.00,56,Parejo,,,,,,,,,,,,,,19.35,715.95,37,89,22.38,395.44,10.69,11.69,,
Ashton Distributors,img/icons/manufacturers/ashtondistributors.svg,Ashton,,img/icons/brands/ashton.svg,Small Cigars,Half Corona Sampler (5),,Sampler,4.13,37,,,,,,,,,,,,Pack,,,,,50,89,4.12,78.00,1.56,2.56,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,April Fool's Day 9x90,,Gigante,9.00,90,Gigante,Honduras,Honduras,Honduras,Honduras,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 6x80,,Gigante,6.00,80,Gigante,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 8x80,,Gigante,8.00,80,Gigante,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Connecticut 6x60,,Gordo,6.00,60,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Connecticut 7x70,,Gigante,7.00,70,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Connecticut Robusto,,Robusto,5.00,50,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Connecticut Toro,,Toro,6.00,52,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Ogre 11/18 Super,,Perfecto,,,Perfecto,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Mixed,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Ogre 38x7 Lancero,,Lancero,7.00,38,Pigtail Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Mixed,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Ogre 50x5,,Robusto,5.00,50,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Mixed,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Ogre 52x6,,Toro,6.00,52,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Mixed,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Ogre 60x6,,Gordo,6.00,60,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Mixed,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Ogre 70x7,,Gigante,7.00,70,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Mixed,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Ogre 80x6,,Gigante,6.00,80,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Mixed,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Ogre 80x8,,Gigante,8.00,80,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Mixed,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 PCA Exclusive Gordo,,Gordo,6.00,60,Parejo,Habano Honduran,Honduras,Honduras,Honduras,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 PCA Exclusive Perfecto,,Perfecto,6.25,1,Perfecto,Habano Honduran,Honduras,Honduras,Honduras,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 PCA Exclusive Robusto,,Robusto,5.00,50,Parejo,Habano Honduran,Honduras,Honduras,Honduras,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Robusto,,Robusto,5.00,50,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Seventy 7x70,,Gigante,7.00,70,Gigante,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Sixty 6x60,,Gordo,6.00,60,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum 13 Toro,,Toro,6.00,52,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum Eight Limited Edition 11/18,,Perfecto,6.00,54,Perfecto,Honduras,Honduras,Honduras,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum Nine Limited Edition 11/18,,Perfecto,6.00,54,Perfecto,Honduras,Honduras,Honduras,Honduras,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Asylum Seven Limited Edition 11/18,,Perfecto,6.00,54,Perfecto,Nicaragua,Honduras,Honduras,Honduras,Maduro,,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Authentic Corojo 6x80,,Gigante,6.00,80,Parejo,Honduras,Honduras,Honduras,Honduras,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Authentic Corojo 7x70,,Gigante,7.00,70,Parejo,Honduras,Honduras,Honduras,Honduras,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Authentic Corojo 8x80,,Gigante,8.00,80,Parejo,Honduras,Honduras,Honduras,Honduras,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Authentic Corojo Gigante 6x60,,Gigante,6.00,70,Parejo,Honduras,Honduras,Honduras,Honduras,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Authentic Corojo Gordo,,Gordo,6.00,60,Parejo,Honduras,Honduras,Honduras,Honduras,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Authentic Corojo Perfecto,,Perfecto,8.00,70,Perfecto,Honduras,Honduras,Honduras,Honduras,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Authentic Corojo Robusto,,Robusto,5.00,50,Parejo,Honduras,Honduras,Honduras,Honduras,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Authentic Corojo Toro,,Toro,6.00,52,Parejo,Honduras,Honduras,Honduras,Honduras,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Bigtime Tommie 7x70,,Gigante,7.00,70,Gigante,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Friday The 13th Corona,,Corona,6.00,46,Parejo,Undisclosed,Undisclosed,Undisclosed,Honduras,Colorado,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Friday The 13th Figurado,,Figurado,5.25,46,Figurado,Undisclosed,Undisclosed,Undisclosed,Honduras,Colorado,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Friday The 13th Robusto,,Robusto,5.00,50,Parejo,Undisclosed,Undisclosed,Undisclosed,Honduras,Colorado,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Connecticut 6x44,,Corona,6.00,44,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Connecticut 6x60,,Gordo,6.00,60,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Connecticut Churchill,,Churchill,7.00,48,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Connecticut Robusto,,Robusto,5.00,50,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Connecticut Toro,,Toro,6.00,52,Parejo,Ecuadorian Connecticut Shade,Honduras,Honduras,Honduras,Connecticut,Mild,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Habano 6x43,,Corona,6.00,43,Parejo,Habano,Honduras,Honduras,Honduras,Colorado,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Habano Churchill,,Churchill,7.00,48,Parejo,Habano,Honduras,Honduras,Honduras,Colorado,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Habano Robusto,,Robusto,5.00,50,Parejo,Habano,Honduras,Honduras,Honduras,Colorado,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Habano Robusto,,Short Robusto,4.50,48,Parejo,Habano,Honduras,Honduras,Honduras,Colorado,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Maduro 7x64,,Gigante,7.00,64,Parejo,Mexican San Andres Maduro,Honduras,Honduras,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Maduro Robusto,,Robusto,5.00,50,Parejo,Mexican San Andres Maduro,Honduras,Honduras,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Insidious Maduro Toro,,Toro,6.00,52,Parejo,Mexican San Andres Maduro,Honduras,Honduras,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Maduro 6x60,,Gordo,6.00,60,Parejo,Mexican San Andres Corojo,Honduran Corojo,Honduran Corojo,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Maduro 6x80,,Gigante,6.00,80,Parejo,Mexican San Andres Corojo,Honduran Corojo,Honduran Corojo,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Maduro 7x70,,Gigante,7.00,70,Parejo,Mexican San Andres Corojo,Honduran Corojo,Honduran Corojo,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Maduro Robusto,,Robusto,5.00,50,Parejo,Mexican San Andres Corojo,Honduran Corojo,Honduran Corojo,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Maduro Toro,,Toro,6.00,52,Parejo,Mexican San Andres Corojo,Honduran Corojo,Honduran Corojo,Honduras,Maduro,Medium,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Natural 6x60,,Gordo,6.00,60,Parejo,Honduran Corojo,Honduras,Honduras,Honduras,Natural,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Natural 6x80,,Gigante,6.00,80,Parejo,Honduran Corojo,Honduras,Honduras,Honduras,Natural,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Natural 7x70,,Gigante,7.00,70,Parejo,Honduran Corojo,Honduras,Honduras,Honduras,Natural,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Natural Robusto,,Robusto,5.00,50,Parejo,Honduran Corojo,Honduras,Honduras,Honduras,Natural,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Medulla Oblongata Natural Toro,,Toro,6.00,52,Parejo,Honduran Corojo,Honduras,Honduras,Honduras,Natural,Medium-Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Nyctophilia 50x5 Robusto,,Robusto,5.00,50,Parejo,Mexican San Andres,Nicaragua,Nicaragua,Honduras,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Nyctophilia 60x6,,Gordo,6.00,60,Parejo,Mexican San Andres,Nicaragua,Nicaragua,Honduras,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Nyctophilia 70x7,,Gigante,7.00,70,Parejo,Mexican San Andres,Nicaragua,Nicaragua,Honduras,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Pandemonium 8.5x52,,Gigante,8.50,52,Parejo,Ecuador Sumatra,Nicaragua,Nicaragua,Nicaragua,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Pandemonium 8.5x60,,Gigante,8.50,60,Parejo,Ecuador Sumatra,Nicaragua,Nicaragua,Nicaragua,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Pandemonium 8.5x70,,Gigante,8.50,70,Parejo,Ecuador Sumatra,Nicaragua,Nicaragua,Nicaragua,Natural,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Premium 44x4,,Petite Corona,4.00,44,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Premium 52x6 Toro,,Toro,6.00,52,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Premium 60x6,,Gordo,6.00,60,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Premium 67x6,,Gigante,6.00,67,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Premium Torpedo,,Pyramid,5.00,54,Pyramid,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Straight Jacket 7x70 Gigante,,Gigante,7.00,70,Gigante,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Straight Jacket Gordo,,Gordo,6.00,60,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Straight Jacket Robusto,,Robusto,5.00,50,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
CLE,img/icons/manufacturers/cle.svg,Asylum 13,,img/icons/brands/asylum13.svg,,Straight Jacket Toro,,Toro Gordo,6.00,54,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Benditos Double Corona,,Double Corona,7.25,58,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Brujos Robusto,,Robusto,5.00,52,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Delirios Toro,,Toro,5.75,55,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Dioses Gigante,,Gigante,8.00,50,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Divinos Robusto,,Robusto,4.40,50,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Duendes Pyramid,,Pyramid,6.13,54T,Pyramid,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Hechizos Short Panatela,,Short Panatela,4.00,40,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Idolos Robusto,,Robusto,4.00,55,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Idolos Tubes Robusto,,Robusto,4.00,55,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Misticos Toro,,Toro,6.75,56,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Misticos Tubes Toro,,Toro,6.75,56,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Ritos Toro,,Toro,6.13,55,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Sabios Robusto,,Robusto,5.25,52,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Sabios Tubes Robusto,,Robusto,5.25,52,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
,,Atabey,,img/icons/brands/atabey.svg,,Spiritus,,Lancero,7.25,40,Parejo,Ecaudor,Undisclosed,Undisclosed,Costa Rica,Claro,Medium,,,,,,,,,,,,,,,,,
