MANUFACTURER,MANUFACTURER IMG,Brand,Brand aka,Brand IMG,Line,Cigar,Cigar IMG,Vitola,LENGTH,RG,SHAPE,WRAPPER,BINDER,FILLER,ORIGIN,WRAPPER SHADE,STRENGTH,Box Pressed,Tubo,F/S,TIN,Pack,Barber,Favorite,MSRP,Box MSRP,Box Count,Inventory,Keystone1,Box Cost,Cigar Cost,Net,PRODUCT #,Master Case
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Blondie,,Cigarillo,4.00,38,Parejo,,,,Nicaragua,,,,,FS,,,,,6.70,268.00,40,89,8.26,145.14,3.63,4.63,Q-01-01-013,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Blondie Candela,,Cigarillo,4.00,38,Parejo,,,,Nicaragua,,,,,FS,,,,,6.70,268.00,40,89,8.26,145.14,3.63,4.63,Q-01-01-167,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Blondie Gold,,Cigarillo,4.00,38,Parejo,,,,Nicaragua,,,,,FS,,,,,6.70,268.00,40,89,8.26,145.14,3.63,4.63,Q-01-01-165,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Blondie Maduro,,Cigarillo,4.00,38,Parejo,,,,Nicaragua,,,,,FS,,,,,6.70,268.00,40,89,8.26,145.14,3.63,4.63,Q-01-01-131,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Krush Blue Connecticut,,Cigarillo,4.00,32,Parejo,Connecticut Shade,Nicaragua,Nicaragua,Nicaragua,Natural,Medium ,,,FS,Tin,,,,21.00,105.00,5,89,27.00,65.00,13.00,14.00,Q-01-01-036,50
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Krush Gold Sumatra,,Cigarillo,4.00,32,Parejo,,Nicaragua,Nicaragua,Nicaragua,Natural,Medium ,,,FS,Tin,,,,21.00,105.00,5,89,27.00,65.00,13.00,14.00,Q-01-01-040,50
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Krush Green Candela,,Cigarillo,4.00,32,Parejo,Candela,Nicaragua,Nicaragua,Nicaragua,Candela,Medium ,,,FS,Tin,,,,21.00,105.00,5,89,27.00,65.00,13.00,14.00,Q-01-01-148,50
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Krush Maduro,,Cigarillo,4.00,32,Parejo,Connecticut Broadleaf Maduro,Nicaragua,Nicaragua,Nicaragua,Maduro,Medium ,,,FS,Tin,,,,21.00,105.00,5,89,27.00,65.00,13.00,14.00,Q-01-01-037,50
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Krush Red,,Cigarillo,4.00,32,Parejo,Cameroon,Nicaragua,Nicaragua,Nicaragua,Maduro,Medium ,,,FS,Tin,,,,21.00,105.00,5,89,27.00,65.00,13.00,14.00,Q-01-01-039,50
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Kuba Pack,,Robusto Gordo,5.00,54,Parejo,Sumatra,,Nicaragua,Nicaragua,Natural,Mild,,,FS,,Pack,,,53.75,268.75,5,89,60.77,149.43,29.89,30.89,Q-01-01-214,16
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Maduro Pack,,Robusto Gordo,5.00,54,Parejo,Connecticut Broadleaf Maduro,Nicaragua,Nicaragua,Nicaragua,EMS,Medium ,,,FS,,Pack,,,53.75,268.75,5,89,60.77,149.43,29.89,30.89,Q-01-01-215,16
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Kuba Ashtray Assortment,,Robusto Gordo,5.00,54,Parejo,,,,Nicaragua,,,,,FS,,Pack,,,11.30,113.00,10,89,12.96,59.80,5.98,6.98,Q-03-01-119,24
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Deluxe,,Toro,6.00,50,Parejo,Sumatra,Nicaragua,Nicaragua,Nicaragua,EMS,Medium ,,,FS,,,,,14.20,142.00,10,89,15.85,74.26,7.43,8.43,Q-01-01-032,30
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Grande,,Gordo,6.00,60,Parejo,Ecuador Sumatra,Nicaragua,Nicaragua,Nicaragua,EMS,Medium ,,,FS,,,,,14.70,147.00,10,89,16.35,76.76,7.68,8.68,Q-01-01-122,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kubariety Sampler,,Robusto Gordo,5.00,54,Parejo,,,,Nicaragua,,,,,FS,,Pack,,,22.85,114.25,15,89,9.13,61.01,4.07,5.07,Q-03-01-112,16
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Candela,,Robusto Gordo,5.00,54,Parejo,,,,Nicaragua,,,,,FS,,,,,11.30,271.20,24,89,12.96,143.46,5.98,6.98,Q-01-01-149,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Kuba,,Robusto Gordo,5.00,54,Parejo,Sumatra,,Nicaragua,Nicaragua,Natural,Mild,,,FS,,,,,11.30,271.20,24,89,12.96,143.46,5.98,6.98,Q-01-01-016,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Maduro,,Robusto Gordo,5.00,54,Parejo,Connecticut Broadleaf Maduro,Nicaragua,Nicaragua,Nicaragua,EMS,Medium ,,,FS,,,,,11.30,271.20,24,89,12.96,143.46,5.98,6.98,Q-01-01-099,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Kuba Deluxe Tubo,,Toro,6.00,50,Parejo,Sumatra,Nicaragua,Nicaragua,Nicaragua,EMS,Medium ,,Tubo,FS,,,,,14.20,14.20,25,89,15.86,185.72,7.43,8.43,Q-01-01-250,12
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Cold Infusion Pack,,Corona Extra,6.75,44,Parejo,,,,Nicaragua,,,,,FS,,Pack,,,49.95,249.70,5,89,56.76,139.39,27.88,28.88,Q-01-01-216,20
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Toast Shelf Pack,,Toro,6.00,50,Parejo,,,,Nicaragua,,,,,FS,,Pack,,,54.70,273.50,5,89,61.78,151.94,30.39,31.39,Q-01-01-217,15
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Seven Wonders,,Assorted,Various,Various,,,,,Nicaragua,,,,,FS,,,,,N/A,81.25,7,89,11.50,36.75,5.25,6.25,Q-03-01-127,41
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,C-Notes,,Cigarillo,3.75,22,Parejo,,,,Nicaragua,,,,,FS,,Pack,,,8.75,175.00,10,89,23.02,110.08,11.01,12.01,Q-01-01-106,45
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Extra Ordinary Larry,,Gordo,6.00,60,Parejo,,,,Nicaragua,,,,,FS,,,,,14.70,147.00,10,89,16.35,76.76,7.68,8.68,Q-01-01-021,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Collector's Tin,,Cigarillo,Various,Various,Parejo,,,,Nicaragua,,,,,FS,Tin,,,,N/A,104.50,12,89,9.00,48.00,4.00,5.00,Q-03-01-126,72
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,1400cc Tubo,,Toro,5.00,50,Parejo,,,,Nicaragua,,,,Tubo,FS,,,,,13.20,237.60,18,89,14.85,124.64,6.92,7.92,Q-01-01-018,15
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Cold Infusion,,Corona Extra,6.75,44,Parejo,,,,Nicaragua,,,,,FS,,,,,10.50,252.00,24,89,12.15,133.81,5.58,6.58,Q-01-01-011,30
